E-nummer,Internationalt navn,Dansk kaldenavn,Funktion,Risici,Forskningsafsnit,Link,Kilde
E633,Calcium inosinate,Calciuminosinat,"Smagsforstærker (umami), forstærker effekten af glutamater",Purinholdigt stof; samme forbehold som E630 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E634,Calcium 5'-ribonucleotides,Calcium-5'-ribonukleotider,"Smagsforstærker (umami), blanding af inosinat og guanylat",Purinholdig blanding; samme forbehold som E626/E630 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E635,Disodium 5'-ribonucleotides,Dinatrium-5'-ribonukleotider,"Smagsforstærker (umami), blanding af dinatriuminosinat og dinatriumguanylat",Purinholdig blanding; samme forbehold som E626/E630 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger. EFSA igangsatte i 2023 en genvurdering af E626-E635.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase / EFSA (genvurdering igangsat 2023)
E636,Maltol,Maltol,"Smagsforstærker/aromaforstærker (sød, karamelagtig smag)","Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat brug. Maltol reguleres i praksis primært som aromastof, men optræder også med E-nummer som smagsforstærker.",Vurderet af JECFA og EFSA uden påvist sikkerhedsproblem ved normal brug.,https://en.wikipedia.org/wiki/Maltol,JECFA/EFSA-baseret vurdering
E637,Ethyl maltol,Ethylmaltol,"Smagsforstærker/aromaforstærker (sød, karamelagtig smag, kraftigere end maltol)","Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat brug. Ethylmaltol reguleres i praksis primært som aromastof, men optræder også med E-nummer som smagsforstærker.",Vurderet af JECFA og EFSA uden påvist sikkerhedsproblem ved normal brug.,https://en.wikipedia.org/wiki/Ethylmaltol,JECFA/EFSA-baseret vurdering
E640,Glycine and its sodium salt,Glycin og natriumglycinat,Smagsforstærker,"Ingen dokumenteret EU-specifik advarsel; glycin er en almindelig aminosyre, og stoffet vurderes sikkert inden for fastsat ADI.",Ingen særlige sikkerhedsbekymringer fundet i EU-vurderinger.,https://www.gov.uk/government/publications/approved-additives-and-e-numbers/approved-additives-and-e-numbers,UK Food Standards Agency (baseret på EU-forordning 1333/2008)
E641,L-leucine,L-leucin,Smagsforstærker,"Ingen dokumenteret EU-specifik advarsel; L-leucin er en essentiel aminosyre, og stoffet vurderes sikkert inden for fastsat ADI.",Ingen særlige sikkerhedsbekymringer fundet i EU-vurderinger.,https://www.gov.uk/government/publications/approved-additives-and-e-numbers/approved-additives-and-e-numbers,UK Food Standards Agency (baseret på EU-forordning 1333/2008)
E650,Zinc acetate,Zinkacetat,Smagsforstærker (kun godkendt til tyggegummi),"Ingen dokumenteret EU-specifik advarsel ved den tilladte brug. EU tillader kun E650 i tyggegummi, med en maksimal mængde på ca. 1 g/kg. Godkendt i EU siden 2002.",Ingen kendte skadevirkninger dokumenteret ved den godkendte anvendelse (tyggegummi).,https://www.gov.uk/government/publications/approved-additives-and-e-numbers/approved-additives-and-e-numbers,UK Food Standards Agency (baseret på EU-forordning 1333/2008)
E900,Dimethylpolysiloxane,Dimethylpolysiloxan,Skumdæmpningsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,,https://www.efsa.europa.eu/en/efsajournal/pub/6797,EFSA (2019)
E901,"Beeswax, white and yellow","Bivoks, hvid og gul",Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; naturligt produkt vurderet sikkert til brug som glansmiddel.,,https://www.efsa.europa.eu/en/efsajournal/pub/3386,EFSA (2013)
E902,Candelilla wax,Candelillavoks,Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionen (2011)
E903,Carnauba wax,Carnaubavoks,Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; naturlig palmevoks vurderet sikkert af EFSA.,,https://www.efsa.europa.eu/en/efsajournal/pub/4058,EFSA (2015)
E904,Shellac,Shellak,Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; kan i sjældne tilfælde give allergiske reaktioner. Ikke egnet til veganere (dyrisk oprindelse fra lakinsekt).,,https://www.efsa.europa.eu/en/efsajournal/pub/5901,EFSA (2020)
E905,Microcrystalline wax,Mikrokrystallinsk voks,Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; mineralsk voks vurderet sikkert inden for fastsat ADI.,,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionen
E907,Hydrogenated poly-1-decene,Hydrogeneret poly-1-decen,Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; anvendes bl.a. i tyggegummi og vurderes sikkert inden for fastsat ADI.,,https://www.efsa.europa.eu/en/efsajournal/pub/4529,EFSA (2016)
E914,Oxidized polyethylene wax,Oxideret polyethylenvoks,Overfladebehandlingsmiddel (glansmiddel),Ingen dokumenteret EU-specifik advarsel; syntetisk voks godkendt til begrænset anvendelse (bl.a. friske citrusfrugter).,,https://www.efsa.europa.eu/en/efsajournal/pub/6332,EFSA (2020)
E920,L-cysteine,L-cystein,"Melbehandlingsmiddel, dejforbedrer",Ingen dokumenteret EU-specifik advarsel; fremstilles i EU typisk syntetisk eller ved fermentering (tidligere ofte fra dyrehår/fjer uden for EU). Vurderes sikkert inden for fastsat ADI.,,https://www.efsa.europa.eu/en/efsajournal/pub/6009,EFSA (2020)
E927b,Carbamide,Carbamid (urinstof),Melbehandlingsmiddel,Ingen dokumenteret EU-specifik advarsel; anvendes i meget begrænset omfang (tyggegummi) og vurderes sikkert inden for fastsat ADI.,,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionen
E938,Argon,Argon,Emballagegas,Ingen dokumenteret sundhedsrisiko; inaktiv ædelgas anvendt til at fortrænge ilt og forlænge holdbarhed.,,https://www.efsa.europa.eu/en/efsajournal/pub/4088,EFSA (2015)
E939,Helium,Helium,Emballagegas,Ingen dokumenteret sundhedsrisiko; inaktiv gas anvendt som emballagegas.,,https://www.efsa.europa.eu/en/efsajournal/pub/4087,EFSA (2015)
E941,Nitrogen,"Nitrogen, kvælstof",Emballagegas/drivmiddel,Ingen dokumenteret sundhedsrisiko; udgør hovedparten af den luft vi indånder og anvendes til at fortrænge ilt i emballage.,,https://www.efsa.europa.eu/en/efsajournal/pub/4771,EFSA (2016)
E942,Nitrous oxide,"Dinitrogenoxid, lattergas",Drivmiddel (bl.a. flødeskumsdåser),Ingen dokumenteret EU-specifik advarsel ved godkendt fødevarebrug; misbrug af lattergas (inhalation til rusmiddelbrug) er et kendt sundhedsproblem uden for fødevareanvendelsen.,,https://www.efsa.europa.eu/en/efsajournal/pub/6067,EFSA (2020)
E943a,Butane,Butan,Drivmiddel,Ingen dokumenteret EU-specifik advarsel; anvendes i meget små mængder som drivmiddel i spraydåser til fødevarer.,,https://www.efsa.europa.eu/en/efsajournal/pub/4772,EFSA (2016)
E943b,Isobutane,Isobutan,Drivmiddel,Ingen dokumenteret EU-specifik advarsel; anvendes i meget små mængder som drivmiddel i spraydåser til fødevarer.,,https://www.efsa.europa.eu/en/efsajournal/pub/4772,EFSA (2016)
E944,Propane,Propan,Drivmiddel,Ingen dokumenteret EU-specifik advarsel; anvendes i meget små mængder som drivmiddel i spraydåser til fødevarer.,,https://www.efsa.europa.eu/en/efsajournal/pub/4772,EFSA (2016)
E948,Oxygen,"Oxygen, ilt",Emballagegas,Ingen dokumenteret sundhedsrisiko; anvendes bl.a. til at bevare farven i pakket kød.,,https://www.efsa.europa.eu/en/efsajournal/pub/4029,EFSA (2015)
E949,Hydrogen,"Hydrogen, brint",Emballagegas,Ingen dokumenteret sundhedsrisiko; inaktiv gas i fødevareemballage.,,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionen
E950,Acesulfame K,"Acesulfamkalium, acesulfam-K",Kunstigt sødemiddel,"Ingen dokumenteret kræftrisiko hos mennesker; EFSA har bekræftet ADI på 9 mg/kg kropsvægt/dag efter fuld gennemgang. Nogle dyreforsøg med meget høje doser har givet anledning til debat, men er ikke understøttet i risikovurderingen.",EFSA gennemførte en fuld re-evaluering i 2016 og fandt ingen grund til at ændre den fastsatte ADI.,https://www.efsa.europa.eu/en/efsajournal/pub/4550,EFSA (2016)
E951,Aspartame,Aspartam,Kunstigt sødemiddel,"Skal mærkes med advarslen ""indeholder en kilde til phenylalanin"" pga. risiko for personer med den arvelige sygdom PKU (fenylketonuri). I 2023 klassificerede WHO's kræftforskningsinstitut IARC aspartam som ""muligvis kræftfremkaldende for mennesker"" (gruppe 2B) på grundlag af begrænset evidens, primært vedrørende leverkræft.","Samme år fastholdt WHO/FAO's ekspertkomité JECFA og EFSA den eksisterende ADI på 40 mg/kg kropsvægt/dag som sikker, da JECFA vurderede at den tilgængelige evidens for kræftrisiko hos mennesker ikke var tilstrækkelig til at ændre grænseværdien. De to vurderinger (fareidentifikation vs. risikovurdering ved normalt forbrug) modsiger derfor ikke nødvendigvis hinanden.",https://www.who.int/news/item/14-07-2023-aspartame-hazard-and-risk-assessment-results-released,WHO/IARC/JECFA (2023)
E952,Cyclamic acid and its Na and Ca salts,"Cyclamat, cyclaminsyre",Kunstigt sødemiddel,"Ikke godkendt til brug i USA siden 1970 pga. dengang mistænkt kræftrisiko hos dyr; senere forskning har ikke bekræftet kræftrisiko hos mennesker ved normalt forbrug, og EFSA har genbekræftet en ADI (7 mg/kg kropsvægt/dag) i EU.",,https://www.efsa.europa.eu/en/efsajournal/pub/3919,EFSA (2020)
E953,Isomalt,Isomalt,"Sødemiddel, fyldstof (sukkeralkohol)","EU-krævet advarsel: ""kan have en afførende virkning ved stort indtag"" ved indtag over ca. 20-25 g/dag, som for andre sukkeralkoholer.",,https://www.efsa.europa.eu/en/efsajournal/pub/6935,EFSA (2020)
E954,"Saccharin and its Na, K and Ca salts",Saccharin,Kunstigt sødemiddel,"I 1970'erne blev saccharin mistænkt for at give blærekræft hos rotter i forsøg med meget høje doser. Senere forskning viste, at mekanismen (dannelse af krystaller i rotteurin, som irriterer blæren) er artsspecifik for rotter og ikke relevant for mennesker. Saccharin blev fjernet fra USA's liste over mistænkte kræftfremkaldende stoffer i 2000 og er fortsat EU-godkendt.",,https://www.efsa.europa.eu/en/efsajournal/pub/5657,EFSA (2019)
E955,Sucralose,Sucralose,Kunstigt sødemiddel,Ingen dokumenteret kræftrisiko hos mennesker ved normalt forbrug. EFSA har genbekræftet en ADI på 15 mg/kg kropsvægt/dag efter fuld re-evaluering.,,https://www.efsa.europa.eu/en/efsajournal/pub/6237,EFSA (2016)
E957,Thaumatin,Thaumatin,"Sødemiddel, smagsforstærker","Ingen dokumenteret EU-specifik advarsel; naturligt protein udvundet af den vestafrikanske frugt katemfe, vurderet sikkert.",,https://www.efsa.europa.eu/en/efsajournal/pub/6435,EFSA (2021)
E959,Neohesperidine DC,"Neohesperidin DC, neohesperidin dihydrochalcon",Kunstigt sødemiddel,"Ingen dokumenteret EU-specifik advarsel; fremstillet af citrusfrugtskal, vurderes sikkert inden for fastsat ADI.",,https://www.efsa.europa.eu/en/efsajournal/pub/4123,EFSA (2015)
E960,"Steviol glycosides, steviol glycosides from fermentation, enzymatically produced steviol glycosides","Steviolglycosider, stevia-udtræk",Naturligt sødemiddel,Ingen dokumenteret EU-specifik advarsel ved normalt forbrug. EFSA hævede i 2024 ADI'en for steviol (udtrykt som steviolækvivalent) i forbindelse med udvidet godkendelse af flere fremstillingsmetoder (bl.a. fermentering og enzymatisk fremstilling).,,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2024.9045,EFSA (2024)
E961,Neotame,Neotam,Kunstigt sødemiddel,"Ingen dokumenteret EU-specifik advarsel; kemisk beslægtet med aspartam, men uden phenylalanin-mærkningskrav da mængden i det færdige produkt er for lille til at udgøre en risiko for PKU-patienter.",,https://www.efsa.europa.eu/en/efsajournal/pub/4361,EFSA (2016)
E962,Salt of aspartame-acesulfame,Aspartam-acesulfamsalt,Kunstigt sødemiddel,"Indeholder aspartam og skal derfor mærkes med advarslen om phenylalanin (relevant for PKU-patienter), på linje med E951.",,https://www.efsa.europa.eu/en/efsajournal/pub/4361,EFSA
E964,Polyglycitol syrup,Polyglycitolsirup,"Sødemiddel, fyldstof (sukkeralkohol)","EU-krævet advarsel: ""kan have en afførende virkning ved stort indtag"", som for andre sukkeralkoholer.",,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionen
E965,"Maltitol, maltitol syrup","Maltitol, maltitolsirup","Sødemiddel, fyldstof (sukkeralkohol)","EU-krævet advarsel: ""kan have en afførende virkning ved stort indtag"" ved indtag over ca. 20-30 g/dag.",,https://www.efsa.europa.eu/en/efsajournal/pub/6208,EFSA (2020)
E966,Lactitol,Lactitol,"Sødemiddel, fyldstof (sukkeralkohol)","EU-krævet advarsel: ""kan have en afførende virkning ved stort indtag"" ved indtag over ca. 20 g/dag.",,https://www.efsa.europa.eu/en/efsajournal/pub/6327,EFSA (2020)
E967,Xylitol,Xylitol,"Sødemiddel, fugtighedsbevarende (sukkeralkohol)","EU-krævet advarsel: ""kan have en afførende virkning ved stort indtag"" ved indtag over ca. 20 g/dag. Bemærk: xylitol er stærkt giftigt for hunde og bør holdes væk fra kæledyr.",,https://www.efsa.europa.eu/en/efsajournal/pub/6339,EFSA (2020)
E968,Erythritol,Erythritol,"Sødemiddel, fugtighedsbevarende (sukkeralkohol)","EU-krævet advarsel: ""kan have en afførende virkning ved stort indtag"" ved indtag over ca. 40-50 g/dag. Et observationsstudie fra Cleveland Clinic (2023, Nature Medicine) fandt en sammenhæng mellem højt erythritol-niveau i blodet og øget risiko for hjerte-kar-hændelser (blodprop, slagtilfælde) samt øget aktivering af blodplader i laboratorieforsøg. Der er tale om en påvist sammenhæng (association), ikke et bevist årsagsforhold.","EFSA, den amerikanske FDA og øvrige fødevaremyndigheder havde ved seneste kendte status ikke ændret deres sikkerhedsvurdering af erythritol som følge af studiet, men opfordrer til yderligere forskning i sammenhængen mellem sukkeralkoholer og hjerte-kar-sundhed.",https://www.nih.gov/news-events/nih-research-matters/erythritol-cardiovascular-events,Cleveland Clinic / Nature Medicine (2023)
E969,Advantame,Advantam,Kunstigt sødemiddel,"Ingen dokumenteret EU-specifik advarsel; kemisk beslægtet med aspartam, men uden phenylalanin-mærkningskrav da mængden i det færdige produkt er for lille til at udgøre en risiko for PKU-patienter.",,https://www.efsa.europa.eu/en/efsajournal/pub/3301,EFSA (2013)
E999,Quillaia extract,Quillaia-ekstrakt,Skummemiddel,"Ingen dokumenteret EU-specifik advarsel; naturligt ekstrakt fra sæbebarktræets bark, anvendes bl.a. i drikkevarer. Vurderes sikkert inden for fastsat ADI.",,https://www.efsa.europa.eu/en/efsajournal/pub/6423,EFSA (2021)
E1000,Cholic acid,Galdesyre,Skumnings- og bæremiddel (bl.a. i modermælkserstatning og æggeprodukter),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,EFSA har vurderet cholic acid som sikkert til de godkendte anvendelser og fastsat betingelser for brug i bl.a. modermælkserstatning.,https://en.wikipedia.org/wiki/Cholic_acid,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1101,Proteases (i) Protease NP; (ii) Protease P; (iii) Protease FP,Proteaser,"Fødevareenzym til nedbrydning af proteiner (bl.a. i bagning, ostefremstilling og kødmørning)","Ingen dokumenteret EU-specifik advarsel; enzymet fjernes eller inaktiveres typisk i den færdige fødevare. Kan i sjældne tilfælde stamme fra allergene kilder (fx svin), hvilket bør fremgå af mærkning.",Fødevareenzymer godkendes under EU's enzymforordning (EF) nr. 1332/2008 efter EFSA's sikkerhedsvurdering af det konkrete produktionsmikroorganisme/-kilde.,https://world.openfoodfacts.org/additive/en:e1101-protease,EFSA / EU-Kommissionen
E1102,Glucose oxidase,Glucoseoxidase,Fødevareenzym anvendt som antioxidant og forbedringsmiddel i bagning,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert til de godkendte anvendelser.,EFSA har vurderet flere glucoseoxidase-præparater fra mikrobiel oprindelse (bl.a. Aspergillus oryzae) som sikre til brug i bageriprodukter.,https://world.openfoodfacts.org/additive/en:e1102-glucose-oxidase,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1103,Invertase,Invertase,Fødevareenzym der spalter sukrose til druesukker og frugtsukker (bl.a. i konfekture med flydende fyld),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for godkendt anvendelse.,Invertase har været anvendt i fødevareproduktion i mange år og er vurderet uproblematisk af fødevaremyndigheder.,https://en.wikipedia.org/wiki/Invertase,EU-Kommissionen / EFSA
E1104,Lipases,Lipaser,Fødevareenzym til nedbrydning af fedtstoffer (bl.a. i ost- og bagerivarer),"Ingen dokumenteret EU-specifik advarsel. Enzymet kan stamme fra animalsk kilde (fx svinebugspytkirtel), hvilket er relevant for personer med religiøse eller etiske kostkrav, men ikke en sundhedsrisiko.","Fødevareenzymer af animalsk, planteb aseret eller mikrobiel oprindelse godkendes individuelt af EFSA under enzymforordningen.",https://us.openfoodfacts.org/facets/additives/e1104-lipase,EFSA / EU-Kommissionen
E1105,Lysozyme,Lysozym,Konserveringsmiddel/enzym der hæmmer bakterievækst (bl.a. i modne oste som Grana Padano),Udvindes fra æggehvide og er relevant som ALLERGEN for personer med ægallergi. Skal mærkes som æg-afledt ingrediens.,"Lysozym er en af de få tilsætningsstoffer i dette nummerområde med en veldokumenteret, specifik allergirisiko (æg), anerkendt af EFSA og fødevaremyndigheder.",https://en.wikipedia.org/wiki/Lysozyme,EFSA / Fødevarestyrelsen (allergenliste)
E1200,Polydextrose,Polydextrose,Fyldstof og stabilisator med lavt kalorieindhold; kilde til kostfiber i light-produkter,"Store mængder kan give afføringspåvirkning (mild afførende effekt/oppustethed) som ved andre polyoler og fibre, i øvrigt ingen specifik EU-advarsel inden for ADI.",EFSA genvurderede polydextrose og bekræftede sikkerheden ved de godkendte anvendelser uden behov for at ændre ADI.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7792022/,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1201,Polyvinylpyrrolidone,Polyvinylpyrrolidon (PVP),"Bæremiddel og stabilisator, primært i kosttilskud og farvestofpræparater",Ingen dokumenteret EU-specifik advarsel; stoffet optages ikke i kroppen og vurderes sikkert inden for fastsat ADI.,EFSA har vurderet PVP som sikkert som bærestof i kosttilskud og farveblandinger.,https://en.wikipedia.org/wiki/Polyvinylpyrrolidone,EFSA / EU-Kommissionen
E1202,Polyvinylpolypyrrolidone,Polyvinylpolypyrrolidon (PVPP),"Klaringsmiddel, især i øl og vin","Ingen dokumenteret EU-specifik advarsel; stoffet er uopløseligt og fjernes ved filtrering, så det stort set ikke findes i det færdige produkt.",Vurderet sikkert af EFSA som teknologisk hjælpestof/tilsætningsstof til klaring af drikkevarer.,https://en.wikipedia.org/wiki/Crospovidone,EFSA / EU-Kommissionen
E1203,Polyvinyl alcohol,Polyvinylalkohol (PVA),Overtræksmiddel til kosttilskud (kapsler og tabletter),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI og godkendt kun til overfladebehandling af kosttilskud.,EFSA har vurderet PVA som sikkert som overtræksmiddel med en fastsat gruppe-ADI sammen med beslægtede polymerer.,https://en.wikipedia.org/wiki/Polyvinyl_alcohol,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1204,Pullulan,Pullulan,Overtræksmiddel til kosttilskud og til spiselige folier/film (bl.a. mundhygiejnestrimler),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI.,"EFSA har vurderet pullulan, et polysaccharid dannet af svampen Aureobasidium pullulans, som sikkert til de godkendte anvendelser.",https://en.wikipedia.org/wiki/Pullulan,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1205,Basic methacrylate copolymer,Basisk methacrylatcopolymer,Overtræksmiddel til kosttilskud (film/kapselovertræk),"Ingen dokumenteret EU-specifik advarsel; kun godkendt til overfladebehandling af kosttilskud, ikke almindelige fødevarer.",EFSA har vurderet methacrylatcopolymererne (E1205-E1207) som sikre til brug som overtræk på kosttilskud inden for fastsatte grænser.,https://en.wikipedia.org/wiki/Methacrylate_copolymer,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1206,Neutral methacrylate copolymer,Neutral methacrylatcopolymer,Overtræksmiddel til kosttilskud (film/kapselovertræk),Ingen dokumenteret EU-specifik advarsel; kun godkendt til overfladebehandling af kosttilskud.,Del af samme EFSA-vurdering og godkendelse (forordning 816/2013) som de øvrige methacrylatcopolymerer.,https://en.wikipedia.org/wiki/Methacrylate_copolymer,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1207,Anionic methacrylate copolymer,Anionisk methacrylatcopolymer,Overtræksmiddel til kosttilskud (film/kapselovertræk),Ingen dokumenteret EU-specifik advarsel; kun godkendt til overfladebehandling af kosttilskud.,Del af samme EFSA-vurdering og godkendelse (forordning 816/2013) som de øvrige methacrylatcopolymerer.,https://en.wikipedia.org/wiki/Methacrylate_copolymer,EFSA (Den Europæiske Fødevaresikkerhedsautoritet)
E1208,Polyvinylpyrrolidone-vinyl acetate copolymer,Polyvinylpyrrolidon-vinylacetat-copolymer,Bæremiddel/overtræksmiddel i kosttilskud og farvestofpræparater,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI og godkendte anvendelser.,Godkendt ved forordning (EU) nr. 264/2014 efter EFSA's sikkerhedsvurdering.,https://en.wikipedia.org/wiki/Copovidone,EFSA / EU-Kommissionen
E1209,Polyvinyl alcohol-polyethylene glycol-graft-copolymer,Polyvinylalkohol-polyethylenglycol-podet copolymer,Overtræksmiddel til kosttilskud (film/kapselovertræk),Ingen dokumenteret EU-specifik advarsel; kun godkendt til overfladebehandling af kosttilskud.,Godkendt ved forordning (EU) nr. 685/2014 efter EFSA's sikkerhedsvurdering.,https://en.wikipedia.org/wiki/Polyvinyl_alcohol,EFSA / EU-Kommissionen
E1404,Oxidised starch,Oxideret stivelse,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator i mange forarbejdede fødevarer,"Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI (\quantum satis\"").""","EFSA's genvurdering af de 12 modificerede stivelser (E1404-E1452) i 2017 bekræftede, at de er sikre ved de nuværende anvendelser uden behov for numerisk ADI.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1410,Monostarch phosphate,Monostivelsesphosphat,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1412,Distarch phosphate,Distivelsesphosphat,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1413,Phosphated distarch phosphate,Phosphateret distivelsesphosphat,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1414,Acetylated distarch phosphate,Acetyleret distivelsesphosphat,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1420,Acetylated starch,Acetyleret stivelse,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1422,Acetylated distarch adipate,Acetyleret distivelsesadipat,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1440,Hydroxypropyl starch,Hydroxypropylstivelse,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1442,Hydroxypropyl distarch phosphate,Hydroxypropyl-distivelsesphosphat,Modificeret stivelse anvendt som fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
E1450,Starch sodium octenyl succinate,Stivelsesnatriumoctenylsuccinat,"Modificeret stivelse anvendt som emulgator, fortykningsmiddel og indkapslingsmiddel (bl.a. til aromaer)",Ingen dokumenteret EU-specifik advarsel ud over meget sjælden fordøjelsesmæssig følsomhed; vurderes sikkert inden for fastsat ADI.,"Omfattet af EFSA's samlede genvurdering (2017) af modificerede stivelser E1404-E1452, som bekræftede sikkerheden.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7009865/,EFSA (2017)
